column,pct_missing
id,100.0
member_id,100.0
url,100.0
next_pymnt_d,99.79
orig_projected_additional_accrued_interest,99.74
hardship_end_date,99.59
hardship_loan_status,99.59
hardship_start_date,99.59
hardship_dpd,99.59
hardship_type,99.59
deferral_term,99.59
hardship_amount,99.59
hardship_status,99.59
hardship_reason,99.59
hardship_length,99.59
hardship_payoff_balance_amount,99.59
hardship_last_payment_amount,99.59
payment_plan_start_date,99.59
sec_app_mths_since_last_major_derog,99.55
sec_app_revol_util,98.76
revol_bal_joint,98.74
sec_app_open_acc,98.74
sec_app_chargeoff_within_12_mths,98.74
sec_app_inq_last_6mths,98.74
sec_app_earliest_cr_line,98.74
sec_app_mort_acc,98.74
sec_app_open_act_il,98.74
sec_app_num_rev_accts,98.74
sec_app_collections_12_mths_ex_med,98.74
verification_status_joint,98.23
dti_joint,98.22
annual_inc_joint,98.22
settlement_term,97.55
debt_settlement_flag_date,97.55
settlement_percentage,97.55
settlement_status,97.55
settlement_date,97.55
settlement_amount,97.55
desc,90.37
mths_since_last_record,82.96
mths_since_recent_bc_dlq,76.34
mths_since_last_major_derog,73.79
il_util,66.88
mths_since_recent_revol_delinq,66.64
mths_since_rcnt_il,62.76
all_util,61.76
total_cu_tl,61.76
inq_last_12m,61.76
open_acc_6m,61.76
max_bal_bc,61.76
open_act_il,61.76
total_bal_il,61.76
open_il_12m,61.76
open_rv_12m,61.76
open_rv_24m,61.76
inq_fi,61.76
open_il_24m,61.76
mths_since_last_delinq,50.45
mths_since_recent_inq,13.19
num_tl_120dpd_2m,9.06
mo_sin_old_il_acct,8.19
emp_title,6.33
emp_length,5.78
pct_tl_nvr_dlq,5.39
avg_cur_bal,5.38
mo_sin_old_rev_tl_op,5.38
num_rev_accts,5.38
mo_sin_rcnt_rev_tl_op,5.38
num_tl_op_past_12m,5.38
num_tl_30dpd,5.38
total_rev_hi_lim,5.38
tot_coll_amt,5.38
num_actv_rev_tl,5.38
tot_cur_bal,5.38
num_accts_ever_120_pd,5.38
num_actv_bc_tl,5.38
mo_sin_rcnt_tl,5.38
num_op_rev_tl,5.38
num_rev_tl_bal_gt_0,5.38
num_tl_90g_dpd_24m,5.38
num_il_tl,5.38
num_bc_tl,5.38
tot_hi_cred_lim,5.38
total_il_high_credit_limit,5.38
bc_util,4.91
percent_bc_gt_75,4.88
bc_open_to_buy,4.85
mths_since_recent_bc,4.78
num_sats,4.48
num_bc_sats,4.48
total_bal_ex_mort,3.83
total_bc_limit,3.83
acc_open_past_24mths,3.83
mort_acc,3.83
title,1.18
last_pymnt_d,0.17
pub_rec_bankruptcies,0.1
revol_util,0.07
dti,0.02
collections_12_mths_ex_med,0.01
chargeoff_within_12_mths,0.01
tax_liens,0.01
last_credit_pull_d,0.0
inq_last_6mths,0.0
earliest_cr_line,0.0
open_acc,0.0
delinq_amnt,0.0
total_acc,0.0
acc_now_delinq,0.0
delinq_2yrs,0.0
pub_rec,0.0
annual_inc,0.0
zip_code,0.0
loan_amnt,0.0
pymnt_plan,0.0
loan_status,0.0
issue_d,0.0
verification_status,0.0
home_ownership,0.0
installment,0.0
grade,0.0
sub_grade,0.0
term,0.0
funded_amnt_inv,0.0
funded_amnt,0.0
int_rate,0.0
collection_recovery_fee,0.0
recoveries,0.0
total_rec_late_fee,0.0
last_pymnt_amnt,0.0
policy_code,0.0
application_type,0.0
purpose,0.0
addr_state,0.0
revol_bal,0.0
initial_list_status,0.0
out_prncp,0.0
out_prncp_inv,0.0
total_rec_int,0.0
total_rec_prncp,0.0
total_pymnt_inv,0.0
total_pymnt,0.0
hardship_flag,0.0
disbursement_method,0.0
debt_settlement_flag,0.0
y,0.0
